Date,Open,High,Low,Close,Change,Rate,Volume,Amount
2016/9/1,3326.74,3329.35,3301.21,3301.58,-26.22,-0.79,849472.19,10091146.28
2016/9/2,3298.72,3320.43,3295.76,3314.11,12.54,0.38,827918.03,9939637.86
2016/9/5,3321.01,3338.42,3314.63,3319.68,5.57,0.17,782924.77,8753108.96
2016/9/6,3322.02,3347.95,3300.13,3342.63,22.95,0.69,982839.98,11836653.34
2016/9/7,3344.07,3357.36,3337.75,3340.82,-1.81,-0.05,1029401.06,11511990.86
2016/9/8,3338.01,3343.4,3328.23,3339.56,-1.25,-0.04,719161.58,8374234.69
2016/9/9,3339.37,3344.95,3318.04,3318.04,-21.52,-0.64,826570.36,9547118.87
2016/9/12,3271.87,3276.72,3234.57,3262.6,-55.44,-1.67,1229176.82,13445663.09
2016/9/13,3265.34,3269.22,3246.39,3260.33,-2.27,-0.07,671802.88,7686264.42
2016/9/14,3245.74,3255,3231.34,3238.73,-21.6,-0.66,704326.97,7978074.64
2016/9/19,3242.74,3264.9,3242.74,3263.12,24.39,0.75,588310.82,6767803.16
2016/9/20,3264.66,3265.04,3252.39,3257.4,-5.72,-0.18,527842.06,6162615.08
2016/9/21,3257.71,3270.9,3254.32,3266.64,9.23,0.28,591429.79,6895774.4
2016/9/22,3281.47,3303.2,3277.98,3291.12,24.48,0.75,757535.42,8999176.17
2016/9/23,3292.28,3293.92,3275.03,3275.67,-15.45,-0.47,579939.86,6804625.73
2016/9/26,3267.69,3267.69,3220.28,3220.28,-55.38,-1.69,704521.86,7870083.51
2016/9/27,3214.87,3240.78,3214.44,3240.75,20.47,0.64,584605.5,6665113.04
2016/9/28,3243.65,3243.65,3228,3230.89,-9.86,-0.3,447274.98,5199640.48
2016/9/29,3234.86,3257.77,3234.8,3244.39,13.5,0.42,554525.56,6222030.23
2016/9/30,3240.18,3260.94,3239.04,3253.28,8.9,0.27,449780.22,5265573.46
2016/10/10,3265.36,3294.64,3258.96,3293.87,40.58,1.25,805192.6,8960798.99
2016/10/11,3296.87,3308,3292.88,3306.56,12.69,0.39,877131.63,8821342.12
2016/10/12,3299.14,3302.56,3289.75,3300.01,-6.55,-0.2,686697.81,7238691.26
2016/10/13,3299.16,3307.41,3292.4,3302.65,2.64,0.08,812241.98,7992374.86
2016/10/14,3298.73,3306.69,3285.73,3305.85,3.2,0.1,823162.71,8148559.78
2016/10/17,3305.96,3309.01,3271.54,3277.88,-27.97,-0.85,861135.09,8819941.89
2016/10/18,3272.68,3321.33,3272.68,3321.33,43.45,1.33,1028607.14,10462504.41
2016/10/19,3323.3,3332.52,3309.83,3316.24,-5.09,-0.15,1011677.25,9635444.22
2016/10/20,3317.18,3324.9,3312.17,3318.6,2.36,0.07,792388.71,8248109.53
2016/10/21,3315.72,3341.56,3309.18,3327.74,9.14,0.28,1097851.76,10711492.61
2016/10/24,3332.51,3382.83,3330.97,3367.58,39.84,1.2,1530143.45,15006300.79
2016/10/25,3367.48,3373.91,3356.59,3367.45,-0.12,0,1111916.93,11057651.29
2016/10/26,3365.2,3367.83,3349.57,3354.8,-12.65,-0.38,980247.86,10471931.82
2016/10/27,3351.46,3352.35,3335.13,3345.7,-9.11,-0.27,776298.51,8524101.24
2016/10/28,3347.14,3370.75,3337.29,3340.13,-5.57,-0.17,931333.09,10479797.14
2016/10/31,3332.41,3340.47,3317.33,3336.28,-3.85,-0.12,713528.63,8070182.1
2016/11/1,3338.71,3359.39,3334.46,3359.05,22.77,0.68,749381.99,8471768.38
2016/11/2,3350.71,3356.4,3331.38,3333.35,-25.7,-0.77,911971.04,10034899.57
2016/11/3,3326.9,3379.99,3324.84,3365.09,31.73,0.95,1262235.04,13738646.84
2016/11/4,3362.21,3377.64,3348.43,3354.17,-10.91,-0.32,1040696.55,11081376.46
2016/11/7,3353.44,3362.74,3342.31,3356.59,2.42,0.07,998779.88,9437087.68
2016/11/8,3367.7,3383.92,3361.13,3371.12,14.53,0.43,1031482.82,10513825.61
2016/11/9,3370.6,3373.1,3322.08,3353.05,-18.06,-0.54,1391100.59,14518692.17
